id,Rol,Token,Respuesta_esperada,Respuesta_obtenida,revision
1,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiY2VlNTNhZDEtNWJhNy00ZDVlLTgxOTQtMzFhNzEzNGI2NzlhIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.CvattT2uCbJC8cs_pn83RDFZ90kwtoiDPRTogG5idPw,Acceso permitido,Acceso permitido,True
2,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNTk4MzA4NWMtZjNiNC00ZDdjLTlkMDYtNzRiZWJhNjhjMDAyIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.Bc8vTP6HxjXxPztyr9FyI5ghPpcmxHxSvnchbXLJAcM,Acceso permitido,Acceso permitido,True
3,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiN2NiMWIyZmEtYWMyOS00ZWM2LTlhNWEtMDQwMjk2NDdmMDAxIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.SNtfq-AYJ4OI0Qba3M_5HRdm-EaLoB-6sclAspNQ-00,Acceso permitido,Acceso permitido,True
4,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiZmI1MDI3NzktMDk3ZS00YjM5LTgzODctNGEyOTdlMTY2MDY2IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.uRll-tHZ7BuqO5wVriMV9JHSM6wHGX-AtoVFqwURYWw,Acceso permitido,Acceso permitido,True
5,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiODNjNmY5NGUtZTgzYy00NTZiLTg3MjQtZjZmM2E3N2E1NzBmIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.Ij7XW43baR7a8Sjd7WjmM1NJ5pX96HgdzgQ0G7tzf_4,No autorizado,No autorizado,True
6,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiY2NmNzFiMDItYmYxYy00NTczLTk5ZGQtNGYwOWZiOTJhYjgzIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.qpilP0i5ly9rbTBkmcuJMQgmppqHUhigaYcL-oU9zRI,No autorizado,No autorizado,True
7,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiYTkwNjY4YWQtYTQ1Ni00MjU2LWE4NjQtMmVjNWU4M2U5ZTM3IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.Sb_5t3_g0OBvINFZNEa4OnWBfEdVlipvmCAi2WzxH7E,No autorizado,No autorizado,True
8,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiODZiYjg4ZjMtMGI1Mi00OTY4LWExZmYtNGI0MTEwNWI2Yjg4IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.LiwGfdszfgfTEsn1NBXxPq5jFNHk7KgrLZR23WBE3Ik,Acceso permitido,Acceso permitido,True
9,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiZDNjY2VkNTktYmZmNy00ZTE3LWJjNmQtZjE0ZDJkYWUyNDcyIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.an9x2w8-0COderHI1ASIAKJ3s1EGWpUclzYnOkr4ftk,Acceso permitido,Acceso permitido,True
10,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiZmFlYWE2MjUtYjlmOS00NjEyLThlM2ItYTRlMGRjMmE2NDFiIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.zZn126ZjXngplwDSNd56LEBXhw87Cj1aAQHmPAN1TOs,Acceso permitido,Acceso permitido,True
